name,category,status,severity,observed,expected,details
VIX exact settlement claim gated by source coverage,claims,pass,critical,"{""Claim"": ""VIX option expiry P\\&L is exact listed settlement P\\&L"", ""Evidence"": ""All VIX expiry rows use exact Cboe VRO/SOQ settlement"", ""Status"": ""Supported"", ""Type"": ""Generated empirical""}",,
post-cost research claim is generated,claims,pass,critical,"{""Claim"": ""Post-cost research returns include implementation frictions"", ""Evidence"": ""Generated mid, half-spread, full-spread, fee, capacity, required-capital, and assignment-risk ledgers"", ""Status"": ""Implemented as conservative research simulation"", ""Type"": ""Generated empirical""}",,
broker-executed evidence overclaim rejected,claims,pass,critical,"{""Claim"": ""Pre-production results are broker-executed live evidence"", ""Evidence"": ""No live fills, order routing, broker margin preview, or broker reconciliation"", ""Status"": ""Not claimed"", ""Type"": ""Rejected overclaim""}",,
production tradability not claimed,claims,pass,critical,"{""Claim"": ""Strategy is production tradable after costs"", ""Evidence"": ""No live fills, live broker margin preview, order routing, or broker reconciliation"", ""Status"": ""Not claimed"", ""Type"": ""Production claim""}",,
alpha-independence overclaim downgraded,claims,pass,critical,"{""Claim"": ""Result is not only long-call equity drift"", ""Evidence"": ""exposure, regression, regimes, equity benchmarks, leave-one-out"", ""Status"": ""Not supported as an alpha-independence claim"", ""Type"": ""Generated diagnostic""}",,
claim audit has theorem and empirical claim types,claims,pass,critical,"{""Accounting identity"": 1, ""Conditional empirical"": 1, ""Generated diagnostic"": 3, ""Generated empirical"": 3, ""Modeling convention"": 1, ""Production claim"": 1, ""Rejected overclaim"": 2, ""Theorem"": 2}",,
bibliography entry types papers/books only,claims,pass,critical,[],article/book,
operational sources absent from bibliography,claims,pass,critical,[],no Cboe/Databento/FRED/NotebookLM/class notes,
source ledger records cboe,claims,pass,critical,cboe,,
source ledger records databento,claims,pass,critical,databento,,
source ledger records vix option,claims,pass,critical,vix option,,
