feasible,max_breach,scenario_cvar_loss,worst_stress_return,short_margin_used,collateral_used,gross_nav,breach_base,breach_cap,breach_cvar,breach_stress,breach_margin,breach_collateral,breach_assignment,method,method_status,solver,predicted_annual_vol,breach_volatility,breach_sign,breach_positive_edge,expected_net_return,predictable_cost,net_utility,continuous_l1_distance,integer_contracts,available,selected,config,strategy,return_date,decision_date
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0972809789094131,0,True,False,orig+VIX,R1.1 25pct EGARCH diagnostic,2019-11-29,2019-10-31
True,0.0,0.0967350070495946,-0.0168855440982345,0.3336125,0.3390315,0.045898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.2485473642515367,0.0,0.0,0.000294,0.007161898443434,0.0046225587839443,0.0049431494117079,0.0038774448765377,1267,True,True,orig+VIX,R1.1 25pct positive-edge deployment,2019-12-31,2019-11-29
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0497754448765377,0,True,False,orig+VIX,R1.1 25pct positive-edge deployment,2019-12-31,2019-11-29
True,0.0,0.0968361961999903,-0.0363068393554842,0.3939375,0.4050285,0.059716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.2495278756685937,0.0,0.0,0.000294,0.0085608507458585,0.0052533377085223,0.0057510235812073,0.0045431406247653,1490,True,True,orig+VIX,R1.1 25pct EGARCH diagnostic,2019-12-31,2019-11-29
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0642591406247653,0,True,False,orig+VIX,R1.1 25pct EGARCH diagnostic,2019-12-31,2019-11-29
True,0.0,0.099295489365564,-0.027202560570339,0.3710525997558594,0.3807375997558594,0.095918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.2489789911769252,0.0,0.0,0.0,0.0150395065577801,0.0050461821202829,0.0075767534113511,0.0128118957127323,1186,True,True,orig+VIX,R1.1 25pct positive-edge deployment,2020-01-31,2019-12-31
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1087298957127323,0,True,False,orig+VIX,R1.1 25pct positive-edge deployment,2020-01-31,2019-12-31
True,0.0,0.0967920541889162,-0.0388988730737913,0.3775045995117188,0.3905505995117188,0.098875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.249455388279126,0.0,0.0,0.0,0.0149549667328361,0.005029111018941,0.0075006479807339,0.0151053854308009,1171,True,True,orig+VIX,R1.1 25pct EGARCH diagnostic,2020-01-31,2019-12-31
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113980385430801,0,True,False,orig+VIX,R1.1 25pct EGARCH diagnostic,2020-01-31,2019-12-31
False,0.0035120781697024,0.1035120781697025,-0.0227621808678021,0.3209585999298097,0.3325875999298097,0.108205,0.0,0.0,0.0035120781697024,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.2478916993546885,0.0,0.0,0.000352,0.0173694770992389,0.0050906269530026,0.0105577891501311,0.0092216491717957,878,True,False,orig+VIX,R1.1 25pct positive-edge deployment,2020-02-28,2020-01-31
