fold_id,scheme,strategy,basis,is_sharpe,oos_sharpe,status
cpcv_02_11,cpcv,Beta/delta-neutral + VIX,gross,1.3987234838477778,1.499837644571151,ok
cpcv_02_11,cpcv,Equal premium,gross,0.4488335624447439,-0.6114087488891468,ok
cpcv_02_11,cpcv,Equal risk,gross,0.5873199900033833,-0.7356002958294985,ok
cpcv_02_11,cpcv,VIX hedge sleeve,gross,-0.3269836093962502,-3.4848260011948717,ok
cpcv_03_04,cpcv,Equity-option Greek Markowitz,gross,1.7889748030813,-0.25145812933694756,ok
cpcv_03_04,cpcv,Greek Markowitz + VIX,gross,1.4157479795914552,0.12391858746267864,ok
cpcv_03_04,cpcv,Beta/delta-neutral + VIX,gross,1.4419197639721935,-0.35893361368072385,ok
cpcv_03_04,cpcv,Equal premium,gross,0.20892742784889334,0.28610048567466106,ok
cpcv_03_04,cpcv,Equal risk,gross,0.42249395844208976,0.5385187627814202,ok
cpcv_03_04,cpcv,VIX hedge sleeve,gross,-0.38908254606207565,-0.4764026026476344,ok
cpcv_03_05,cpcv,Equity-option Greek Markowitz,gross,1.9944408786687304,0.8989582493412432,ok
cpcv_03_05,cpcv,Greek Markowitz + VIX,gross,1.5013160441755664,1.0282750853905425,ok
cpcv_03_05,cpcv,Beta/delta-neutral + VIX,gross,1.6467710866346632,0.5276016509848648,ok
cpcv_03_05,cpcv,Equal premium,gross,-0.07445634530817634,1.2627043230198054,ok
cpcv_03_05,cpcv,Equal risk,gross,0.16384614952244728,1.6679092067470975,ok
cpcv_03_05,cpcv,VIX hedge sleeve,gross,-4.332161220959098,0.5117455725179528,ok
cpcv_03_06,cpcv,Equity-option Greek Markowitz,gross,2.0578059949416394,0.1435893494914397,ok
cpcv_03_06,cpcv,Greek Markowitz + VIX,gross,1.4197620785554668,0.7751882487968468,ok
cpcv_03_06,cpcv,Beta/delta-neutral + VIX,gross,1.4445002097020736,0.26956118439597726,ok
cpcv_03_06,cpcv,Equal premium,gross,0.28647062219050745,-0.30515281504838243,ok
cpcv_03_06,cpcv,Equal risk,gross,0.6331125706663837,-0.18210389529333842,ok
cpcv_03_06,cpcv,VIX hedge sleeve,gross,-0.3882137494472041,-1.0001478736941716,ok
cpcv_03_07,cpcv,Equity-option Greek Markowitz,gross,2.3671405882813326,-0.6291516938926169,ok
cpcv_03_07,cpcv,Greek Markowitz + VIX,gross,1.664771209364001,-0.0530492455413927,ok
cpcv_03_07,cpcv,Beta/delta-neutral + VIX,gross,1.5067458534704063,-0.009230975023491975,ok
cpcv_03_07,cpcv,Equal premium,gross,0.2638837116105854,0.11400510225292795,ok
cpcv_03_07,cpcv,Equal risk,gross,0.6393093279489585,0.1873313754160876,ok
